id,title,organisation,url,publication_date,consultation_date,theme,summary,interest_for_watch,text_type,context_type,date_basis,consultation_scope,verification_note
"S01","Guide de l'influence responsable","ADEME","https://librairie.ademe.fr/economie-circulaire-et-dechets/9167-guide-de-l-influence-responsable-9791029723919.html","2026-04-08","2026-09-05","Influence responsable","Guide opérationnel sur les pratiques d'influence, les enjeux éthiques et la réduction des effets de surconsommation dans les contenus sociaux.","Source centrale pour encadrer les partenariats influenceurs, les annotations de veille et les recommandations aux marques.","Resume redige","Actualite recente","Mise en ligne 08/04/2026; edition 03/2026","Contenu de la page publique; resume reformule",""
"S02","Guide anti-greenwashing de l'ADEME - edition 2025","ADEME","https://librairie.ademe.fr/societe-et-politiques-publiques/8839-10637-guide-anti-greenwashing-de-l-ademe-edition-2025-9791029724312.html","2025-12-02","2026-09-05","Anti-greenwashing","Ressource pratique destinée aux communicants pour éviter les allégations environnementales vagues ou trompeuses et intégrer les évolutions réglementaires.","Base de contrôle des messages de campagne et des claims environnementaux.","Resume redige","Actualite recente","Mise en ligne 02/12/2025","Contenu de la page publique; resume reformule",""
"S03","Les fondamentaux de la communication responsable","ADEME","https://communication-responsable.ademe.fr/fondamentaux","","2026-09-05","Communication responsable","Portail qui insiste sur la sincérité, la transformation réelle, l'analyse de pertinence, l'eco-socio-conception et la mobilisation des parties prenantes.","Cadre méthodologique pour structurer une offre de conseil en marketing responsable.","Resume redige","Reference / contexte historique","Date de publication non etablie","Contenu de la page publique; resume reformule",""
"S04","Barometre de la consommation responsable 2025","GreenFlex et ADEME","https://communication-responsable.ademe.fr/barometre-de-la-consommation-responsable-2025-greenflex-et-lademe","2025-07-01","2026-09-05","Consommation responsable","Le baromètre constate une conscience climatique élevée mais un engagement plus fragile, freiné par les prix, les promotions et les injonctions de consommation.","Permet de relier la demande client à des messages plus sobres, utiles et crédibles.","Resume redige","Actualite recente","Date affichee par la source","Contenu de la page publique; resume reformule",""
"S05","Bilan publicite et environnement 2023-2024","ARPP","https://www.arpp.org/actualite/bilan-publicite-et-environnement-2023-2024/","2024-10-02","2026-09-05","Publicite environnementale","Bilan d'application de la recommandation developpement durable, portant sur des publicites environnementales observees sur plusieurs medias.","Permet de surveiller les manquements, reserves et tendances de representation dans la publicite.","Resume redige","Reference / contexte historique","Metadonnee article:published_time 2024-10-02; ancienne date 2024-11-02 corrigee","Page de presentation du bilan; rapport non utilise pour des chiffres",""
"S06","Recommandation Developpement durable v3","ARPP","https://www.arpp.org/nous-consulter/regles/regles-de-deontologie/developpement-durable/","","2026-09-05","Deontologie publicitaire","Règles deontologiques applicables aux publicites utilisant un argument ecologique, social, societal ou economique lie au developpement durable.","Grille de conformité pour evaluer les campagnes et limiter les risques de greenwashing.","Resume redige","Reference / contexte historique","Date de publication non etablie","Contenu de la page publique; resume reformule","Recommandation deontologique v3 en vigueur depuis le 01/08/2020; distincte d'une loi."
"S07","Marketing d'influence: controles au premier trimestre 2023","DGCCRF","https://www.economie.gouv.fr/dgccrf/actualites-dgccrf/marketing-dinfluence-la-dgccrf-intensifie-ses-controles-au-premier-trimestre-2023","2023-05-03","2026-09-05","Influence commerciale","La DGCCRF signale 50 influenceurs controles au premier trimestre 2023 et des constats d'infraction pour 60 pour cent d'entre eux.","Indique un risque réglementaire concret et la necessite de transparence des partenariats commerciaux.","Resume redige","Reference / contexte historique","Date affichee par la source","Contenu de la page publique; resume reformule","Controle cible de 50 influenceurs en 2023; les 60 % ne representent pas tous les influenceurs."
"S08","Directive UE 2024/825 sur la transition verte des consommateurs","Union europeenne - EUR-Lex","https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32024L0825","2024-03-06","2026-09-05","Reglementation europeenne","La directive encadre les allégations environnementales et les labels de durabilité. L'article 4 fixe une transposition au 27 mars 2026 et une application des dispositions au 27 septembre 2026. Son entrée en vigueur ne signifie pas application immédiate de toutes les nouvelles mesures.","Source juridique majeure pour anticiper les exigences de preuve, labels et engagements climatiques.","Resume redige","Reference / contexte historique","Date affichee par la source","Contenu de la page publique; resume reformule","Articles 4 et 5 verifies. Calendrier europeen; aucune conclusion sur la transposition francaise."
"S09","Green claims: position du Parlement europeen","Parlement europeen","https://www.europarl.europa.eu/news/en/press-room/20240308IPR19001/parliament-wants-to-improve-consumer-protection-against-misleading-claims","2024-03-12","2026-09-05","Green claims","Le Parlement a adopté en première lecture sa position sur une proposition distincte de directive relative à la justification des allégations environnementales. Cette position de 2024 n'est pas une loi applicable. Voir S19 pour le suivi de procédure en 2026.","Alerte de veille sur la montee de l'exigence de justification avant publication des claims.","Resume redige","Reference / contexte historique","Date affichee par la source","Contenu de la page publique; resume reformule",""
"S10","Publicite en ligne et evolution des modeles d'affaires","CNIL","https://www.cnil.fr/fr/publicite-en-ligne-la-cnil-se-prepare-aux-evolutions-des-modeles-daffaires","2024-07-04","2026-09-05","Donnees personnelles et publicite","Étude exploratoire publiée en 2024 sur les modèles publicitaires et la vie privée, issue de 25 entretiens conduits fin 2023-début 2024. Elle distingue ciblage contextuel, données propriétaires et retail media. Ses hypothèses sur le calendrier des cookies tiers sont historiques et ne sont pas reprises comme actualité.","Montre que la responsabilite marketing inclut aussi la sobriete data, le consentement et l'interoperabilite.","Resume redige","Reference / contexte historique","Date affichee par la source","Contenu de la page publique; resume reformule","Photographie 2023-2024, aucune affirmation d'une suppression effective des cookies tiers."
"S11","Cookies et autres traceurs","CNIL","https://www.cnil.fr/fr/cookies-et-autres-traceurs","","2026-09-05","Consentement","Page de reference sur les règles applicables aux cookies et traceurs dans le cadre du ciblage publicitaire.","Source utile pour documenter les criteres de collecte de donnees conformes.","Resume redige","Reference / contexte historique","Date de publication non etablie","Contenu de la page publique; resume reformule",""
"S12","Affichage environnemental sur les vetements","Ministere de la Transition ecologique","https://www.ecologie.gouv.fr/politiques-publiques/affichage-environnemental-vetements","2024-03-28","2026-09-05","Transparence produit","Le dispositif textile s'appuie sur une analyse du cycle de vie, completee par des criteres de durabilite et d'incitation a la reparation.","Exemple concret de communication par la preuve et de futur standard sectoriel.","Resume redige","Reference / contexte historique","Date affichee par la source","Contenu de la page publique; resume reformule","Page mise a jour le 27/03/2026; calendrier precise par le communique S13."
"S13","Lancement de l'affichage du cout environnemental textile","Ministere de la Transition ecologique","https://www.ecologie.gouv.fr/presse/mode-durable-laffichage-du-cout-environnemental-vetements-est-lance-partir-du-1er-octobre","2025-09-09","2026-09-05","Mode durable","Communique annoncant la possibilite d'afficher le cout environnemental des vetements a partir du 1er octobre 2025.","Actualise le calendrier de mise en marche pour les marques textiles.","Resume redige","Actualite recente","Date affichee par la source","Contenu de la page publique; resume reformule",""
"S14","Repository of European IAB initiatives for responsible digital advertising","IAB Europe","https://iabeurope.eu/wp-content/uploads/Repository-of-European-IABs-Initiatives-for-Responsible-Digital-Advertising-2024.pdf","2024-09-30","2026-09-05","Publicite digitale responsable","Panorama europeen d'initiatives sur privacy, DSA, transparence, influence marketing et durabilite de la publicite digitale.","Aide a identifier des standards professionnels et des categories de veille.","Resume redige","Reference / contexte historique","Date affichee par la source","PDF professionnel de 11 pages consulte",""
